,time,bpm
0,17:33:36:5,97
1,17:33:37:0,96.8125
2,17:33:37:5,96
3,17:33:38:0,96
4,17:33:38:5,96
5,17:33:39:0,95.8
6,17:33:39:5,93
7,17:33:40:0,93
8,17:33:40:5,93
9,17:33:41:0,92.85714286
10,17:33:41:5,91
11,17:33:42:0,91
12,17:33:42:5,91
13,17:33:43:0,91
14,17:33:43:5,91
15,17:33:44:0,91
16,17:33:44:5,91
17,17:33:45:0,91
18,17:33:45:5,91
19,17:33:46:0,91
20,17:33:46:5,91
21,17:33:47:0,91
22,17:33:47:5,91
23,17:33:48:0,91
24,17:33:48:5,91
25,17:33:49:0,91
26,17:33:49:5,92
27,17:33:50:0,92
28,17:33:50:5,92
29,17:33:50:0,92
30,17:33:51:5,91
31,17:33:52:0,91
32,17:33:52:5,91
33,17:33:53:0,91
34,17:33:53:5,89
35,17:33:54:0,89
36,17:33:54:5,89
37,17:33:55:0,89
38,17:33:55:5,87.2
39,17:33:56:0,87
40,17:33:56:5,87
41,17:33:57:0,87
42,17:33:57:5,88
43,17:33:57:0,88
44,17:33:57:5,88
45,17:33:58:0,88
46,17:33:58:5,88
47,17:33:59:0,88
48,,
49,,
