bpm : first_line /  time : 19:4:55:141
bpm : 103 /  time : 1.8121364116668701
bpm : 103 /  time : 2.3118042945861816
bpm : 103 /  time : 2.8115108013153076
bpm : 103 /  time : 3.3112547397613525
bpm : 103 /  time : 3.8109333515167236
bpm : 103 /  time : 4.310672283172607
bpm : 103 /  time : 4.810336351394653
bpm : 103 /  time : 5.314071416854858
bpm : 103 /  time : 5.813745975494385
bpm : 103 /  time : 6.313504934310913
bpm : 103 /  time : 6.8131654262542725
bpm : 103 /  time : 7.41524338722229
bpm : 103 /  time : 7.914958715438843
bpm : 103 /  time : 8.414751529693604
bpm : 98 /  time : 8.914351224899292
bpm : 98 /  time : 9.414047002792358
bpm : 93 /  time : 9.913766622543335
bpm : 93 /  time : 10.413463830947876
bpm : 90 /  time : 10.913241863250732
bpm : 90 /  time : 11.412935972213745
bpm : 87 /  time : 11.916595935821533
bpm : 87 /  time : 12.41639757156372
bpm : 85 /  time : 12.977480411529541
bpm : 85 /  time : 13.47713851928711
bpm : 85 /  time : 13.976862907409668
bpm : 83 /  time : 14.476565599441528
bpm : 83 /  time : 14.97635817527771
bpm : 81 /  time : 15.476037979125977
bpm : 81 /  time : 15.979676961898804
bpm : 79 /  time : 16.479374647140503
bpm : 79 /  time : 16.97907590866089
bpm : 77 /  time : 17.478776693344116
bpm : 77 /  time : 17.97853112220764
bpm : 76 /  time : 18.58061981201172
bpm : 76 /  time : 19.080366134643555
bpm : 76 /  time : 19.579994440078735
bpm : 75 /  time : 20.079776525497437
bpm : 75 /  time : 20.579480409622192
bpm : 75 /  time : 21.083114624023438
bpm : 75 /  time : 21.58280324935913
bpm : 75 /  time : 22.082528591156006
bpm : 75 /  time : 22.582230806350708
bpm : 74 /  time : 23.081926345825195
bpm : 74 /  time : 23.58165454864502
bpm : 72 /  time : 24.183745861053467
bpm : 72 /  time : 24.683514833450317
bpm : 70 /  time : 25.2650089263916
bpm : 70 /  time : 25.76474165916443
bpm : 70 /  time : 26.2644305229187
bpm : 69 /  time : 26.764223098754883
bpm : 69 /  time : 27.263911485671997
bpm : 68 /  time : 27.76362180709839
bpm : 68 /  time : 28.267251014709473
bpm : 68 /  time : 28.766942262649536
bpm : 68 /  time : 29.266693830490112
