bpm : heart rate sensor: /  time : 17:29:37:512
bpm : 108 /  time : 17:29:37:516
bpm : 108 /  time : 17:29:37:995
bpm : 108 /  time : 17:29:38:540
bpm : 108 /  time : 17:29:39:040
bpm : 108 /  time : 17:29:39:539
bpm : 107 /  time : 17:29:40:039
bpm : 107 /  time : 17:29:40:539
bpm : 107 /  time : 17:29:41:039
bpm : 107 /  time : 17:29:41:542
bpm : 107 /  time : 17:29:42:042
bpm : 107 /  time : 17:29:42:542
bpm : 107 /  time : 17:29:43:041
bpm : 107 /  time : 17:29:43:541
bpm : 121 /  time : 17:29:44:143
bpm : 121 /  time : 17:29:44:643
bpm : 121 /  time : 17:29:45:143
bpm : 130 /  time : 17:29:45:642
bpm : 130 /  time : 17:29:46:142
bpm : 138 /  time : 17:29:46:642
bpm : 138 /  time : 17:29:47:141
bpm : 144 /  time : 17:29:47:641
bpm : 144 /  time : 17:29:48:145
bpm : 148 /  time : 17:29:48:645
bpm : 148 /  time : 17:29:49:144
bpm : 151 /  time : 17:29:49:746
bpm : 151 /  time : 17:29:50:246
bpm : 153 /  time : 17:29:50:824
bpm : 153 /  time : 17:29:51:323
bpm : 153 /  time : 17:29:51:823
bpm : 155 /  time : 17:29:52:327
bpm : 155 /  time : 17:29:52:826
bpm : 156 /  time : 17:29:53:326
bpm : 156 /  time : 17:29:53:826
bpm : 157 /  time : 17:29:54:326
bpm : 157 /  time : 17:29:54:825
bpm : 158 /  time : 17:29:55:325
bpm : 158 /  time : 17:29:55:825
bpm : 159 /  time : 17:29:56:427
bpm : 159 /  time : 17:29:56:926
bpm : 159 /  time : 17:29:57:426
bpm : 159 /  time : 17:29:57:926
bpm : 159 /  time : 17:29:58:426
bpm : 159 /  time : 17:29:58:929
bpm : 159 /  time : 17:29:59:429
bpm : 160 /  time : 17:29:59:929
bpm : 160 /  time : 17:30:00:428
bpm : 160 /  time : 17:30:00:928
bpm : 160 /  time : 17:30:01:428
bpm : 160 /  time : 17:30:02:030
bpm : 160 /  time : 17:30:02:530
bpm : 160 /  time : 17:30:03:029
bpm : 147 /  time : 17:30:03:529
bpm : 147 /  time : 17:30:04:029
bpm : 137 /  time : 17:30:04:532
bpm : 137 /  time : 17:30:05:032
bpm : 130 /  time : 17:30:05:532
bpm : 130 /  time : 17:30:06:032
