time;face_valid;bpm
8300;1;48
8333;1;47.6853
8366;1;47.6853
8400;1;47.6758
8433;1;48
8466;1;47.6853
8500;1;47.6758
8533;1;96
8566;1;95.3706
8600;1;95.3516
8633;1;96
8666;1;95.3706
8700;1;95.3516
8733;1;132
8766;1;131.135
8800;1;47.6758
8833;1;84
8866;1;83.4492
8900;1;83.4327
8933;1;84
8966;1;83.4492
9000;1;83.4327
9033;1;72
9066;1;83.4492
9100;1;71.5137
9133;1;72
9166;1;83.4492
9200;1;83.4327
9233;1;72
9266;1;83.4492
9300;1;83.4327
9333;1;84
9366;1;83.4492
9400;1;83.4327
9433;1;84
9466;1;83.4492
9500;1;83.4327
9533;1;84
9566;1;83.4492
9600;1;83.4327
9633;1;84
9666;1;83.4492
9700;1;83.4327
9733;1;84
9766;1;83.4492
9800;1;83.4327
9833;1;96
9866;1;95.3706
9900;1;95.3516
9933;1;96
9966;1;95.3706
10000;1;95.3516
10033;1;132
10066;1;131.135
10100;1;131.108
10133;1;96
10166;1;95.3706
10200;1;95.3516
10233;1;96
10266;1;95.3706
10300;1;95.3516
10333;1;96
10366;1;95.3706
10400;1;95.3516
10433;1;96
10466;1;95.3706
10500;1;95.3516
10533;1;96
10566;1;95.3706
10600;1;95.3516
10633;1;96
10666;1;95.3706
10700;1;95.3516
10733;1;96
10766;1;95.3706
10800;1;71.5137
10833;1;48
10866;1;47.6853
10900;1;47.6758
10933;1;48
10966;1;47.6853
11000;1;47.6758
11033;1;48
11066;1;47.6853
11100;1;47.6758
11133;1;48
11166;1;47.6853
11200;1;47.6758
11233;1;48
11266;1;47.6853
11300;1;47.6758
11333;1;48
11366;1;47.6853
11400;1;47.6758
11433;1;48
11466;1;47.6853
11500;1;47.6758
11533;1;72
11566;1;47.6853
11600;1;47.6758
11633;1;48
11666;1;47.6853
11700;1;47.6758
11733;1;48
11766;1;47.6853
11800;1;71.5137
11833;1;72
11866;1;71.5279
11900;1;71.5137
11933;1;72
11966;1;71.5279
12000;1;71.5137
12033;1;48
12066;1;47.6853
12100;1;47.6758
12133;1;48
12166;1;47.6853
12200;1;47.6758
12233;1;48
12266;1;47.6853
12300;1;47.6758
12333;1;48
12366;1;47.6853
12400;1;47.6758
12433;1;48
12466;1;47.6853
12500;1;47.6758
12533;1;48
12566;1;47.6853
12600;1;47.6758
12633;1;48
12666;1;47.6853
12700;1;47.6758
12733;1;48
12766;1;47.6853
12800;1;47.6758
12833;1;48
12866;1;47.6853
12900;1;47.6758
12933;1;48
12966;1;47.6853
13000;1;47.6758
13033;1;48
13066;1;47.6853
13100;1;47.6758
13133;1;48
13166;1;47.6853
13200;1;47.6758
13233;1;48
13266;1;47.6853
13300;1;47.6758
13333;1;48
13366;1;47.6853
13400;1;47.6758
13433;1;48
13466;1;47.6853
13500;1;47.6758
13533;1;48
13566;1;47.6853
13600;1;47.6758
13633;1;48
13666;1;47.6853
13700;1;47.6758
13733;1;48
13766;1;47.6853
13800;1;47.6758
13833;1;48
13866;1;47.6853
13900;1;47.6758
13933;1;48
13966;1;47.6853
14000;1;47.6758
14033;1;48
14066;1;47.6853
14100;1;47.6758
14133;1;48
14166;1;47.6853
14200;1;47.6758
14233;1;48
14266;1;47.6853
14300;1;47.6758
14333;1;48
14366;1;47.6853
14400;1;47.6758
14433;1;48
14466;1;59.6066
14500;1;59.5948
14533;1;60
14566;1;59.6066
14600;1;59.5948
14633;1;60
14666;1;59.6066
14700;1;59.5948
14733;1;60
14766;1;59.6066
14800;1;59.5948
14833;1;60
14866;1;59.6066
14900;1;59.5948
14933;1;60
14966;1;59.6066
15000;1;59.5948
15033;1;60
15066;1;59.6066
15100;1;59.5948
15133;1;60
15166;1;59.6066
15200;1;59.5948
15233;1;60
15266;1;59.6066
15300;1;59.5948
15333;1;60
15366;1;59.6066
15400;1;59.5948
15433;1;60
15466;1;59.6066
15500;1;59.5948
15533;1;60
15566;1;59.6066
15600;1;59.5948
15633;1;60
15666;1;59.6066
15700;1;59.5948
15733;1;60
15766;1;59.6066
15800;1;59.5948
15833;1;60
15866;1;59.6066
15900;1;59.5948
15933;1;60
15966;1;59.6066
16000;1;59.5948
16033;1;60
16066;1;59.6066
16100;1;59.5948
16133;1;60
16166;1;59.6066
16200;1;59.5948
16233;1;60
16266;1;59.6066
16300;1;71.5137
16333;1;72
16366;1;71.5279
16400;1;71.5137
16433;1;72
16466;1;71.5279
16500;1;71.5137
16533;1;72
16566;1;71.5279
16600;1;71.5137
16633;1;72
16666;1;71.5279
16700;1;71.5137
16733;1;72
16766;1;71.5279
16800;1;71.5137
16833;1;72
16866;1;71.5279
16900;1;71.5137
16933;1;72
16966;1;71.5279
17000;1;71.5137
17033;1;72
17066;1;71.5279
17100;1;71.5137
17133;1;48
17166;1;47.6853
17200;1;71.5137
17233;1;72
17266;1;71.5279
17300;1;71.5137
17333;1;72
17366;1;71.5279
17400;1;71.5137
17433;1;72
17466;1;71.5279
17500;1;47.6758
17533;1;96
17566;1;95.3706
17600;1;95.3516
17633;1;96
17666;1;95.3706
17700;1;95.3516
17733;1;96
17766;1;95.3706
17800;1;95.3516
17833;1;96
17866;1;95.3706
17900;1;95.3516
17933;1;96
17966;1;95.3706
18000;1;95.3516
18033;1;96
18066;1;95.3706
18100;1;95.3516
18133;1;96
18166;1;95.3706
18200;1;95.3516
18233;1;96
18266;1;95.3706
18300;1;95.3516
18333;1;96
18366;1;95.3706
18400;1;95.3516
18433;1;96
18466;1;95.3706
18500;1;95.3516
18533;1;96
18566;1;95.3706
18600;1;95.3516
18633;1;84
18666;1;83.4492
18700;1;83.4327
18733;1;84
18766;1;83.4492
18800;1;83.4327
18833;1;84
18866;1;83.4492
18900;1;83.4327
18933;1;84
18966;1;83.4492
19000;1;83.4327
19033;1;84
19066;1;83.4492
19100;1;83.4327
19133;1;84
19166;1;83.4492
19200;1;83.4327
19233;1;84
19266;1;83.4492
19300;1;83.4327
19333;1;84
19366;1;83.4492
19400;1;83.4327
19433;1;84
19466;1;83.4492
19500;1;83.4327
19533;1;84
19566;1;83.4492
19600;1;83.4327
19633;1;84
19666;1;83.4492
19700;1;83.4327
19733;1;84
19766;1;83.4492
19800;1;83.4327
19833;1;84
19866;1;83.4492
19900;1;83.4327
19933;1;84
19966;1;83.4492
20000;1;83.4327
20033;1;84
20066;1;83.4492
20100;1;83.4327
20133;1;84
20166;1;83.4492
20200;1;83.4327
20233;1;84
20266;1;83.4492
20300;1;83.4327
20333;1;84
20366;1;83.4492
20400;1;83.4327
20433;1;84
20466;1;83.4492
20500;1;83.4327
20533;1;84
20566;1;83.4492
20600;1;83.4327
20633;1;84
20666;1;83.4492
20700;1;83.4327
20733;1;84
20766;1;83.4492
20800;1;83.4327
20833;1;84
20866;1;83.4492
20900;1;83.4327
20933;1;84
20966;1;83.4492
21000;1;83.4327
21033;1;84
21066;1;83.4492
21100;1;83.4327
21133;1;84
21166;1;83.4492
21200;1;83.4327
21233;1;84
21266;1;83.4492
21300;1;83.4327
21333;1;84
21366;1;83.4492
21400;1;83.4327
21433;1;84
21466;1;83.4492
21500;1;83.4327
21533;1;84
21566;1;83.4492
21600;1;83.4327
21633;1;84
21666;1;83.4492
21700;1;83.4327
21733;1;84
21766;1;83.4492
21800;1;83.4327
21833;1;84
21866;1;83.4492
21900;1;83.4327
21933;1;84
21966;1;83.4492
22000;1;83.4327
22033;1;84
22066;1;83.4492
22100;1;83.4327
22133;1;84
22166;1;83.4492
22200;1;83.4327
22233;1;84
22266;1;83.4492
22300;1;83.4327
22333;1;84
22366;1;83.4492
22400;1;83.4327
22433;1;84
22466;1;83.4492
22500;1;83.4327
22533;1;84
22566;1;83.4492
22600;1;83.4327
22633;1;84
22666;1;83.4492
22700;1;83.4327
22733;1;84
22766;1;83.4492
22800;1;83.4327
22833;1;84
22866;1;83.4492
22900;1;83.4327
22933;1;84
22966;1;83.4492
23000;1;83.4327
23033;1;84
23066;1;83.4492
23100;1;83.4327
23133;1;84
23166;1;83.4492
23200;1;83.4327
23233;1;84
23266;1;83.4492
23300;1;83.4327
23333;1;84
23366;1;83.4492
23400;1;83.4327
23433;1;84
23466;1;83.4492
23500;1;47.6758
23533;1;48
23566;1;47.6853
23600;1;47.6758
23633;1;48
23666;1;47.6853
23700;1;47.6758
23733;1;48
23766;1;47.6853
23800;1;47.6758
23833;1;48
23866;1;47.6853
23900;1;47.6758
23933;1;48
23966;1;47.6853
24000;1;47.6758
24033;1;48
24066;1;47.6853
24100;1;47.6758
24133;1;48
24166;1;47.6853
24200;1;47.6758
24233;1;48
24266;1;47.6853
24300;1;47.6758
24333;1;48
24366;1;47.6853
24400;1;47.6758
24433;1;48
24466;1;83.4492
24500;1;83.4327
24533;1;84
24566;1;83.4492
24600;1;83.4327
24633;1;84
24666;1;83.4492
24700;1;83.4327
24733;1;48
24766;1;83.4492
24800;1;47.6758
24833;1;48
24866;1;35.764
24900;1;35.7569
24933;1;36
24966;1;35.764
25000;1;35.7569
25033;1;60
25066;1;59.6066
25100;1;59.5948
25133;1;60
25166;1;59.6066
25200;1;59.5948
25233;1;60
25266;1;59.6066
25300;1;59.5948
25333;1;60
25366;1;59.6066
25400;1;59.5948
25433;1;60
25466;1;59.6066
25500;1;59.5948
25533;1;60
25566;1;59.6066
25600;1;59.5948
25633;1;60
25666;1;59.6066
25700;1;59.5948
25733;1;84
25766;1;59.6066
25800;1;59.5948
25833;1;84
25866;1;59.6066
25900;1;59.5948
25933;1;84
25966;1;59.6066
26000;1;59.5948
26033;1;84
26066;1;59.6066
26100;1;59.5948
26133;1;84
26166;1;59.6066
26200;1;59.5948
26233;1;60
26266;1;59.6066
26300;1;59.5948
26333;1;60
26366;1;59.6066
26400;1;59.5948
26433;1;60
26466;1;59.6066
26500;1;59.5948
26533;1;60
26566;1;59.6066
26600;1;59.5948
26633;1;60
26666;1;59.6066
26700;1;59.5948
26733;1;60
26766;1;59.6066
26800;1;59.5948
26833;1;60
26866;1;59.6066
26900;1;59.5948
26933;1;60
26966;1;59.6066
27000;1;59.5948
27033;1;60
27066;1;59.6066
27100;1;59.5948
27133;1;60
27166;1;59.6066
27200;1;59.5948
27233;1;60
27266;1;59.6066
27300;1;59.5948
27333;1;60
27366;1;59.6066
27400;1;59.5948
27433;1;60
27466;1;59.6066
27500;1;59.5948
27533;1;72
27566;1;59.6066
27600;1;59.5948
27633;1;72
27666;1;59.6066
27700;1;59.5948
27733;1;72
27766;1;59.6066
27800;1;59.5948
27833;1;96
27866;1;95.3706
27900;1;95.3516
27933;1;96
27966;1;95.3706
28000;1;95.3516
28033;1;96
28066;1;95.3706
28100;1;95.3516
28133;1;96
28166;1;95.3706
28200;1;95.3516
28233;1;72
28266;1;71.5279
28300;1;71.5137
28333;1;72
28366;1;71.5279
28400;1;71.5137
28433;1;72
28466;1;71.5279
28500;1;71.5137
28533;1;72
28566;1;71.5279
28600;1;71.5137
28633;1;72
28666;1;71.5279
28700;1;71.5137
28733;1;72
28766;1;71.5279
28800;1;71.5137
28833;1;72
28866;1;71.5279
28900;1;71.5137
28933;1;72
28966;1;71.5279
29000;1;71.5137
29033;1;72
29066;1;71.5279
29100;1;71.5137
29133;1;72
29166;1;71.5279
29200;1;71.5137
29233;1;72
29266;1;71.5279
29300;1;71.5137
29333;1;72
29366;1;71.5279
29400;1;71.5137
29433;1;72
29466;1;71.5279
29500;1;71.5137
29533;1;72
29566;1;71.5279
29600;1;71.5137
29633;1;72
29666;1;71.5279
29700;1;71.5137
29733;1;72
29766;1;71.5279
29800;1;71.5137
29833;1;72
29866;1;71.5279
29900;1;71.5137
29933;1;72
29966;1;71.5279
30000;1;71.5137
30033;1;60
30066;1;71.5279
30100;1;71.5137
30133;1;60
30166;1;71.5279
30200;1;59.5948
30233;1;60
30266;1;59.6066
30300;1;59.5948
30333;1;60
