,time,bpm
0,18:12:35:0,57.9475
1,18:12:35:5,57.425000000000004
2,18:12:36:0,56.63
3,18:12:36:5,56.54
4,18:12:36:0,56.501
5,18:12:36:5,62.885
6,18:12:37:0,62.13
7,18:12:37:5,62.0
8,18:12:37:0,61.980000000000004
9,18:12:37:5,61.21857142857143
10,18:12:38:0,60.34
11,18:12:38:5,60.25
12,18:12:38:0,60.06600000000001
13,18:12:38:5,107.67999999999999
14,18:12:39:0,124.95
15,18:12:39:5,124.99
16,18:12:39:0,124.19399999999999
17,18:12:35:0,104.87666666666667
18,18:12:35:5,104.29357142857143
19,18:12:36:0,103.42
20,18:12:36:5,103.51
21,18:12:36:0,103.917
22,18:12:36:5,103.64642857142857
23,18:12:37:0,102.8
24,18:12:37:5,102.75
25,18:12:37:0,102.87100000000001
26,18:12:37:5,106.53428571428573
27,18:12:38:0,121.56
28,18:12:38:5,121.44
